HIP,RAICRS,DEICRS,Vmag,Plx,pmRA,pmDE,BV
20889,67.15388879,19.18052092,3.53,21.04,107.23,-36.77,1.014
20892,67.16256011,-19.45859808,5.95,10.09,37.76,-113.46,1.215
20894,67.16531219,15.87094680,3.40,21.89,108.66,-26.39,0.179
20901,67.20875444,13.04763905,5.02,20.33,105.17,-15.08,0.215
20922,67.27885535,-13.04836725,5.61,2.07,0.30,-0.95,-0.202
20982,67.50249474,83.34013144,5.47,10.74,-46.72,101.95,0.855
20995,67.53555351,15.63789864,5.58,22.93,107.59,-23.92,0.324
21029,67.63987124,16.19407556,4.78,22.54,104.98,-25.14,0.170
21036,67.65541066,13.72445018,5.40,21.84,108.06,-19.71,0.263
21039,67.66177772,15.69193829,5.47,22.55,104.17,-24.29,0.258
21042,67.66803902,-35.65358006,5.95,8.92,1.51,31.23,1.005
21060,67.70874038,-44.95374351,5.07,4.59,2.44,-2.48,-0.194
21139,67.96945612,-0.04399115,4.91,3.93,-3.76,-8.17,1.320
21148,68.00767912,53.91084467,5.78,-1.53,-3.19,-5.99,0.119
21192,68.15642848,-3.20950026,5.76,7.61,17.97,-16.69,-0.117
21247,68.37758981,72.52882555,5.94,8.74,29.36,-90.83,0.306
21248,68.37762290,-29.76583186,4.49,26.22,-114.35,-271.56,0.972
21253,68.39208243,-62.82363051,5.79,21.74,-117.21,-19.34,1.028
21273,68.46189659,14.84448749,4.65,21.39,103.69,-25.94,0.255
21278,68.47804057,-6.73889608,5.71,4.18,-2.65,-4.76,-0.128
21281,68.49882684,-55.04500559,3.30,18.56,58.06,12.73,-0.079
21295,68.53448353,5.56863495,5.67,7.99,-15.58,-7.77,0.055
21296,68.54850732,-8.23135939,5.20,4.05,-22.42,2.88,1.708
21297,68.54913224,-8.96998497,5.24,4.96,-36.27,-112.18,1.465
21323,68.65830037,28.96120368,5.88,7.00,-0.64,-21.87,-0.048
21393,68.88779874,-30.56231049,3.81,15.62,-48.92,-12.75,0.957
21402,68.91347315,10.16091706,4.25,21.68,44.89,-52.42,0.184
21421,68.98000195,16.50976164,0.87,50.09,62.78,-189.36,1.538
21444,69.07975243,-3.35244800,3.93,5.56,1.73,-4.54,-0.210
21452,69.10096877,64.26162001,5.91,7.36,-26.03,-7.37,-0.009
21476,69.17264013,41.26485467,4.25,5.08,-5.42,-19.19,1.171
21479,69.19032350,-62.07698129,5.59,16.02,-68.46,-71.22,1.500
21515,69.30698431,0.99832711,5.32,3.85,-4.91,-5.34,-0.107
21547,69.40044421,-2.47339212,5.22,33.60,43.32,-64.23,0.283
21588,69.53906817,16.03338888,5.78,21.96,113.05,-40.40,0.312
21589,69.53917371,12.51087423,4.27,21.79,101.73,-14.90,0.122
21594,69.54529558,-14.30358700,3.86,29.84,-77.86,-178.06,1.082
21604,69.56599361,20.68474222,5.85,9.03,-13.89,-8.23,-0.019
21644,69.72330721,-12.12307828,4.99,14.34,-65.10,-17.68,0.074
21670,69.77542864,7.87098753,5.38,19.44,91.87,-4.56,0.257
21673,69.78832206,15.80003442,5.08,21.49,32.40,-77.67,0.141
21683,69.81854938,15.91802420,4.67,20.51,82.40,-19.53,0.147
21685,69.83182532,-14.35888729,5.46,16.42,121.08,-125.41,1.054
21727,69.97786313,53.07957406,5.07,6.58,-7.38,-15.95,1.079
21730,69.99180673,53.47323647,5.36,11.76,35.88,-88.79,0.331
21735,70.01424281,12.19764088,5.45,9.46,-1.29,-12.98,-0.121
21743,70.02852595,-24.48241131,5.56,10.34,-69.92,17.70,0.926
21763,70.11039135,-19.67125686,4.32,9.03,28.21,-97.09,1.599
21770,70.14092957,-41.86357034,4.44,49.67,-141.18,-74.95,0.342
21819,70.33223225,28.61506693,5.73,9.74,37.35,-30.04,0.018
21823,70.35037233,48.30098864,5.66,10.48,44.67,-44.20,0.002
21847,70.45865407,38.28042013,5.97,32.03,241.54,-97.88,0.593
21861,70.51435953,-37.14476616,5.04,36.16,46.90,193.14,0.391
21881,70.56126452,22.95697545,4.27,8.14,-2.84,-20.33,-0.112
21914,70.69356887,-50.48141805,5.30,9.50,-35.90,34.63,0.977
21928,70.72624534,43.36526451,5.30,12.02,34.70,-52.07,0.028
21949,70.76644496,-70.93111187,5.53,6.75,9.30,34.77,-0.114
21958,70.78880760,-30.76539538,5.66,4.36,-30.32,-66.45,1.391
21972,70.83999357,49.97382624,5.86,5.09,-5.18,-15.33,0.013
21986,70.89469925,-8.79424587,5.98,8.04,28.84,-29.27,0.645
22024,71.02215847,-8.50357425,5.78,2.43,4.44,1.51,-0.076
22028,71.03312400,-18.66654311,5.53,11.06,52.09,-17.64,0.025
22040,71.08799653,-59.73284052,5.28,14.66,29.32,44.19,0.206
22044,71.10737323,11.14616933,5.39,20.73,98.87,-13.47,0.251
22086,71.26729443,-21.28334113,5.72,5.20,16.86,-17.14,1.476
22109,71.37558764,-3.25462465,4.01,6.13,17.27,-13.51,-0.148
22157,71.50708664,11.70560822,5.35,12.24,67.48,-7.09,0.197
22176,71.56993252,18.73486237,5.99,10.81,73.03,-69.79,1.221
22220,71.68529906,40.31268034,5.99,7.36,8.99,-37.10,0.934
22263,71.90088443,-16.93486728,5.49,75.10,130.41,169.20,0.632
22287,72.00090298,56.75753919,5.29,20.12,53.02,-146.40,0.246
22325,72.13553607,-16.32958093,5.76,24.06,7.09,39.68,0.537
22336,72.15084320,-5.67343877,5.77,37.73,312.68,-249.28,0.631
22361,72.20942983,75.94154357,5.96,21.92,37.56,-133.28,0.283
22393,72.30347923,31.43762493,5.57,13.90,16.81,-102.84,1.132
22407,72.32941395,32.58826794,5.84,9.71,25.80,-31.74,0.250
22449,72.45890935,6.96124744,3.19,124.60,463.44,11.62,0.484
22453,72.47777728,37.48818131,4.89,6.18,-38.40,38.48,1.447
22479,72.54828803,-16.21728342,5.03,13.40,44.95,51.26,0.992
22509,72.65300943,8.90025258,4.35,16.84,-0.87,-31.57,0.010
22531,72.73077622,-53.46172112,5.58,26.97,-79.08,87.79,0.341
22545,72.78901570,48.74075831,5.64,10.16,-43.00,-30.30,1.013
22549,72.80152507,5.60510146,3.68,2.59,-3.62,1.03,-0.157
22565,72.84338884,18.83994085,5.08,17.27,79.66,-32.76,0.214
22573,72.86749463,-34.90623200,5.82,11.39,24.68,-22.43,0.105
22626,73.02153945,63.50564999,5.47,6.53,38.15,-94.28,1.559
22667,73.13318214,14.25077828,4.71,6.02,-2.62,-56.13,1.773
22678,73.15833005,36.70319636,4.79,5.81,-25.97,-3.89,1.414
22697,73.19619789,27.89757233,5.97,9.27,44.73,-35.83,0.368
22699,73.19902284,42.58662591,5.68,6.31,-11.07,0.11,0.115
22701,73.22366820,-5.45275591,4.36,14.39,-18.01,25.03,0.257
22730,73.34481369,2.50826491,5.33,5.11,29.67,-16.40,1.632
22783,73.51254425,66.34266029,4.26,0.47,0.49,7.31,-0.008
22797,73.56289850,2.44067149,3.71,2.43,1.43,0.23,-0.179
22833,73.69544409,11.42597336,5.18,13.54,-16.31,13.63,0.121
22834,73.69914124,7.77916325,5.33,7.39,-21.74,-27.14,1.214
22840,73.71128549,0.46717846,5.98,3.38,-0.49,-4.89,-0.116
22845,73.72376720,10.15114511,4.64,27.04,40.08,-128.37,0.085
22854,73.76309080,55.25912955,5.52,4.93,-16.14,-8.60,0.015
22860,73.77841969,-16.74064825,5.71,6.85,4.88,-8.94,0.953
22871,73.79641541,-74.93700232,5.47,4.58,27.60,61.88,1.518
22881,73.82767537,-16.41785525,5.71,11.30,11.79,36.48,0.874
22913,73.95898357,15.04030639,5.79,7.71,-4.54,-11.54,-0.085
22936,74.02948687,52.86971717,5.75,6.82,-2.59,18.06,0.105
22957,74.09300449,13.51457755,4.06,19.26,-77.77,-45.97,1.158
22958,74.10078852,-5.17135066,5.50,4.41,-5.67,-2.32,-0.123
23015,74.24840098,33.16613537,2.69,6.37,3.63,-18.54,1.490
23040,74.32175175,53.75208289,4.43,8.68,-24.17,7.53,-0.017
23043,74.34311423,17.15370680,5.51,6.91,-11.16,-12.30,1.304
23068,74.45268983,23.94858492,5.79,6.92,2.61,-9.37,1.109
23088,74.53906826,25.05052129,5.79,11.01,26.23,-47.62,0.018
23123,74.63709525,1.71403506,4.47,3.42,-1.59,-7.93,1.369
23148,74.71244667,-82.47052255,5.84,9.34,-5.10,4.12,0.932
23166,74.75599103,-16.37633681,5.65,23.17,-121.61,127.52,0.447
23179,74.81406425,37.89048240,4.93,20.50,46.26,-97.81,0.037
23221,74.96017027,-10.26299266,5.39,18.29,19.49,-136.75,0.797
23231,74.98213784,-12.53720450,4.78,11.21,40.37,-86.89,0.267
23261,75.07644704,39.39470389,5.95,18.86,-10.93,-1.21,0.415
23265,75.08632052,81.19402107,5.09,9.46,0.99,27.47,1.304
23362,75.35649111,-20.05188078,4.91,15.60,36.68,-15.47,-0.047
23364,75.35977051,-7.17397802,4.80,3.41,-0.23,5.16,-0.164
23408,75.45979252,0.72216704,5.91,6.55,4.84,-22.75,1.267
23416,75.49222507,43.82331397,3.03,1.60,0.18,-2.31,0.537
23430,75.54069171,-26.27484321,5.01,13.45,85.79,-76.63,1.056
23446,75.59503803,-31.77154017,5.92,9.90,-6.44,85.28,1.170
23453,75.61950025,41.07588953,3.69,4.14,8.88,-21.43,1.154
23467,75.67918703,-71.31432608,5.30,5.08,-3.54,10.68,0.996
23474,75.68726911,-22.79508768,5.74,6.22,61.22,14.58,1.188
23475,75.68904194,-4.21012550,5.86,10.48,42.23,2.02,1.212
23482,75.70302244,-49.15147328,5.37,38.19,-43.96,27.18,0.421
23497,75.77376699,21.59006170,4.62,20.01,68.94,-40.85,0.155
23522,75.85457200,60.44228144,4.03,3.27,-6.11,-14.78,0.921
23554,75.97189741,-24.38805735,5.61,16.65,25.69,-38.42,0.094
23595,76.10129897,-35.48287057,4.55,17.63,126.17,-44.36,1.177
23607,76.14224320,15.40418059,4.65,8.15,18.40,-30.99,-0.064
23649,76.24146891,-49.57783014,5.05,6.88,68.74,-3.03,1.484
23668,76.31745462,-26.15223983,5.71,13.58,10.48,-62.10,1.166
23685,76.36521705,-22.37085673,3.19,14.39,19.27,-72.35,1.460
23693,76.37787652,-57.47298928,4.71,85.83,-31.87,117.42,0.526
23734,76.53524887,58.97239085,5.22,4.86,-6.16,-7.67,-0.080
23767,76.62862102,41.23464074,3.18,14.87,30.60,-68.41,-0.148
23783,76.66940952,51.59814314,4.98,38.14,-29.31,-173.95,0.343
23794,76.69019503,-4.65516319,5.12,11.65,10.05,0.00,-0.059
23831,76.85367500,-12.49100914,5.97,27.60,136.07,-107.12,0.606
23835,76.86115023,18.64500711,4.91,63.02,536.05,18.51,0.657
23840,76.89171306,-63.39957018,5.19,5.20,12.57,-44.74,1.646
23871,76.95178565,20.41845485,5.28,18.80,-49.12,-31.33,0.118
23875,76.96264146,-5.08626282,2.78,36.71,-83.39,-75.44,0.161
23879,76.97030487,8.49857348,5.33,16.84,34.96,-59.49,0.338
23883,76.98097847,21.70483596,5.84,3.16,1.75,-6.24,0.168
23900,77.02759284,24.26518765,5.50,1.01,1.74,-5.29,0.030
23916,77.08411634,-8.66527389,5.80,4.29,3.68,-20.78,-0.059
23941,77.18194475,-4.45624625,5.11,39.99,55.62,16.03,0.455
23972,77.28659571,-8.75407607,4.25,1.86,0.00,-2.01,-0.187
23983,77.33168451,9.82959768,5.43,18.54,63.54,-7.87,0.249
24010,77.42483084,15.59727157,4.81,10.24,-7.12,-16.14,0.313
24019,77.43773063,28.03060835,5.93,18.28,55.86,-60.57,0.311
24109,77.67862860,46.96243511,5.67,21.64,57.35,-150.22,0.452
24162,77.82970507,-2.49078592,5.89,26.04,81.46,1.44,0.462
24169,77.84521813,-11.84922715,5.60,7.30,31.76,56.93,1.350
24197,77.92317268,16.04565766,5.18,10.15,3.46,6.32,1.525
24203,77.93896000,1.03705465,5.88,3.56,0.95,-11.12,0.662
24244,78.07453075,-11.86914287,4.45,13.53,24.95,-31.22,-0.099
24254,78.09353950,73.94674435,5.44,8.71,4.31,-28.83,-0.108
24294,78.20048421,-6.05711381,5.90,7.31,21.87,-31.50,0.960
24305,78.23280460,-16.20542901,3.29,17.69,45.66,-16.13,-0.110
24327,78.30785422,-12.94128833,4.36,5.83,-12.22,-1.32,-0.094
24331,78.32283171,2.86125346,4.46,9.49,3.05,4.94,1.166
24340,78.35721486,38.48467394,4.82,20.08,-18.66,-72.41,0.189
24372,78.43927858,-67.18534976,4.81,5.97,18.18,38.96,1.274
24426,78.62015802,-35.97703069,5.75,6.73,11.33,14.20,1.009
24436,78.63446353,-8.20163919,0.18,4.22,1.87,-0.56,-0.030
24450,78.68355139,5.15612934,5.50,5.45,-7.01,8.74,1.369
24505,78.85152247,-26.94343723,5.06,11.98,10.88,-29.41,-0.067
24504,78.85171534,32.68756990,5.01,12.14,-27.05,12.47,0.222
24555,79.01724675,11.34136954,5.52,8.86,-8.52,-6.54,-0.012
24575,79.07563540,34.31221188,5.99,2.24,-4.05,43.22,0.199
24608,79.17206517,45.99902927,0.08,77.29,75.52,-427.13,0.795
24659,79.37093064,-34.89438961,4.81,29.63,93.71,-336.53,0.987
24674,79.40166225,-6.84438616,3.59,5.88,-15.31,-9.57,-0.115
24679,79.41769273,-13.51970778,5.48,20.69,-7.59,-48.49,0.932
24727,79.54395049,33.37200411,4.54,13.92,29.86,-160.98,1.252
24732,79.55521962,73.26813649,5.81,9.09,-7.94,-26.82,-0.023
24738,79.56534453,42.79218517,5.55,4.70,18.11,-30.50,1.492
24786,79.70931620,-18.13019946,5.96,40.11,385.00,61.32,0.572
24799,79.75008050,33.74846576,5.38,7.28,13.62,-29.63,-0.167
24813,79.78365993,40.10066732,4.69,79.08,519.39,-664.79,0.630
24817,79.79678985,2.59593601,5.34,16.47,-18.14,-53.30,0.412
24822,79.81912416,22.09669104,4.96,15.83,19.62,-81.08,0.937
24829,79.84214072,-50.60652008,5.44,27.70,23.00,227.39,0.517
24831,79.84869643,-27.36886420,5.98,7.31,-3.46,-8.09,-0.022
24845,79.89385817,-13.17677698,4.29,3.03,-2.49,-4.74,-0.235
24873,79.99596151,-12.31560456,5.29,9.83,-12.12,7.97,-0.104
24879,80.00383769,33.95806265,5.05,1.06,0.02,-3.68,0.287
24902,80.06118220,41.08633916,5.46,10.66,-18.10,-52.22,0.122
24914,80.09422730,62.65371666,5.64,1.65,-3.00,-2.34,1.728
24927,80.11213225,-21.23973932,4.70,7.11,10.78,-9.91,-0.048
25001,80.30286824,29.56988462,5.66,11.72,-1.54,-0.19,0.060
25028,80.38268211,-0.41649397,5.68,3.03,-0.28,1.18,-0.125
25041,80.43150654,8.42856342,5.78,4.43,-2.20,-2.97,-0.114
25044,80.44061530,-0.38246922,4.72,2.53,0.45,1.67,-0.168
25045,80.44278196,-24.77294996,5.06,11.09,-20.55,-12.99,0.662
25048,80.45168832,41.80466344,5.22,5.08,13.42,-37.38,-0.129
25110,80.64073869,79.23075701,5.08,47.66,-78.60,161.13,0.506
25142,80.70833880,3.54444809,4.99,3.39,-2.00,1.80,-0.096
25143,80.70968545,41.02925326,5.54,10.87,-12.49,2.94,0.127
25187,80.82713053,-8.41558811,5.99,6.61,-1.73,-2.91,-0.037
25194,80.85001902,-39.67843559,5.73,5.81,26.66,5.04,1.626
25197,80.86594376,57.54453138,5.24,9.59,14.94,-55.97,-0.011
25202,80.87564930,-13.92734983,5.25,1.80,1.07,-0.92,-0.219
25223,80.92628584,-0.15981294,5.69,4.03,1.21,-2.09,-0.208
25247,80.98681839,-7.80795569,4.13,18.71,-13.91,-44.80,0.943
25278,81.10545973,17.38355205,5.00,68.19,250.40,-7.42,0.544
25280,81.11861918,-16.97574213,5.64,14.84,34.67,-15.86,-0.001
25281,81.11923774,-2.39713844,3.35,3.62,-0.54,-3.21,-0.240
25282,81.12046283,-0.89166902,5.07,18.93,-5.03,140.19,0.961
25291,81.16052742,31.14316298,5.94,3.97,-10.61,-6.20,0.034
25292,81.16309201,37.38537514,5.02,6.35,-0.27,-12.13,1.445
25302,81.18677704,1.84644611,4.89,2.94,0.12,-0.60,-0.200
25329,81.25725926,-10.32884540,5.60,5.13,3.16,-17.09,1.543
25336,81.28278416,6.34973451,1.64,13.42,-8.75,-13.28,-0.224
25397,81.49926259,-19.69535296,5.78,23.24,3.43,-19.06,0.441
25428,81.57290804,28.60787346,1.65,24.89,23.28,-174.22,-0.130
25429,81.58032066,-58.91259871,5.14,6.98,-8.22,32.22,0.986
25471,81.70334709,34.39182774,5.92,2.53,-0.22,-7.33,0.138
25473,81.70928405,3.09567718,4.59,2.30,0.34,-1.11,-0.199
25488,81.77215841,-40.94377328,5.86,10.52,3.27,108.48,0.239
25492,81.78446999,30.20861412,5.69,1.41,0.27,-4.54,0.175
25499,81.79203649,17.96226766,5.40,4.88,7.88,-21.06,-0.090
25539,81.90868350,21.93698219,4.88,4.69,1.75,-6.96,-0.140
25541,81.91203061,34.47598643,5.08,8.14,-1.44,-38.81,1.400
25555,81.94002438,15.87410386,5.52,5.77,4.39,-21.26,0.015
25583,82.00666898,17.23924182,5.77,4.63,16.53,-46.15,1.634
25606,82.06135971,-20.75923214,2.81,20.49,-5.03,-85.92,0.807
25608,82.06386207,-37.23093130,5.56,11.10,11.90,67.75,0.026
25695,82.31871986,25.15030596,5.47,7.52,11.44,-37.36,-0.042
25708,82.34875680,-3.44637074,5.80,6.98,-28.01,-9.45,1.149
25737,82.43325647,-1.09217557,4.71,7.15,0.19,-26.08,1.592
25751,82.47822116,1.78926104,5.77,2.60,1.64,-0.34,-0.192
25768,82.53942437,-47.07733403,5.46,22.87,20.84,-131.94,0.615
25769,82.54254026,63.06723206,5.43,3.50,-5.92,-4.77,1.704
25790,82.60905551,15.36054290,5.93,9.47,-13.48,-38.58,0.103
25813,82.69603301,5.94821792,4.20,11.30,6.57,-32.45,-0.143
25816,82.70270666,41.46207800,5.99,8.45,2.01,-34.37,1.112
25853,82.78176520,-20.86355455,5.53,12.00,5.07,-43.02,0.012
25859,82.80306450,-35.47043592,3.86,11.77,28.36,-34.11,1.130
25861,82.81054942,3.29213510,5.46,2.08,1.28,-0.89,-0.176
25887,82.89995202,-45.92540473,5.86,6.96,18.57,36.13,1.349
25918,82.96942437,-76.34166340,5.18,32.43,143.20,287.75,1.130
25923,82.98275119,-7.30152625,4.62,2.11,-0.54,-4.44,-0.261
25930,83.00166562,-0.29909340,2.25,3.56,1.67,0.56,-0.175
25945,83.05313020,18.59424525,4.32,1.70,-0.34,-4.51,2.060
25950,83.05893591,17.05815445,5.50,2.92,-4.23,-10.85,-0.004
25980,83.17231020,-1.59183293,5.34,1.27,-2.03,0.74,-0.188
25984,83.18197584,32.19203140,4.71,0.80,-1.81,-4.00,0.281
25985,83.18255798,-17.82229227,2.58,2.54,3.27,1.54,0.211
25993,83.21407027,-38.51334582,5.45,18.92,50.43,-10.57,1.224
26001,83.24801962,-64.22751422,5.34,14.07,33.10,-1.27,1.039
26019,83.28048500,-35.13930773,5.75,11.74,100.02,-28.13,1.085
26063,83.38102882,-1.15607162,5.36,1.76,-0.55,-0.49,-0.175
26064,83.38179070,18.54023092,5.67,1.74,0.15,0.01,-0.022
26069,83.40631813,-62.48985585,3.76,3.14,1.06,12.56,0.640
26093,83.47618830,14.30559209,5.60,6.35,-1.96,-5.74,-0.118
26108,83.51689842,-1.47020476,5.92,3.87,-13.93,-19.99,1.535
26126,83.56995870,3.76693355,5.32,9.45,-29.35,-15.82,0.051
26169,83.68659342,-73.74136684,5.79,3.12,0.06,37.09,1.717
26176,83.70515764,9.48958528,4.39,3.31,-1.24,-2.49,-0.157
26197,83.75419279,-6.00926927,5.67,0.55,1.02,-0.27,-0.228
26199,83.76117163,-6.00202867,4.78,1.75,0.59,0.68,-0.248
26207,83.78449043,9.93416294,3.39,3.09,-1.03,-1.86,-0.160
26215,83.80516163,10.24010204,5.60,2.23,1.45,-3.76,0.149
26219,83.81439488,-33.08000909,5.76,10.28,28.70,117.16,1.120
26220,83.81592896,-5.38731536,4.98,-1.85,-0.92,0.13,
26221,83.81860863,-5.38969624,5.13,-1.85,-0.92,0.13,0.020
26235,83.84541591,-5.41606331,4.98,1.72,1.68,1.50,-0.097
26237,83.84650694,-4.83834045,4.58,4.15,4.29,-7.15,-0.183
26241,83.85825475,-5.90989984,2.75,2.46,2.27,-0.62,-0.210
26248,83.86300222,24.03963793,5.37,5.44,14.98,-20.22,-0.092
26268,83.91452109,-4.85608620,5.24,8.80,-1.44,8.05,0.269
26311,84.05338572,-1.20191725,1.69,2.43,1.49,-1.06,-0.184
26344,84.14677009,54.42868426,5.74,4.37,-7.14,-10.59,1.671
26345,84.14872314,-6.06475248,5.71,1.70,0.00,0.35,-0.212
26366,84.22637775,9.29141200,4.09,28.10,96.84,-304.18,0.951
26382,84.26545679,17.04040910,5.53,18.56,42.90,-34.86,0.237
26386,84.26813110,11.03504389,5.97,3.97,52.25,-16.18,1.592
26394,84.28663598,-80.47167450,5.65,54.92,311.97,1050.19,0.600
26396,84.28682553,26.92452823,5.83,6.83,11.11,-22.68,-0.075
26451,84.41118447,21.14259299,2.97,7.82,2.39,-18.04,-0.148
26460,84.43601282,-28.68979391,5.28,23.54,-37.99,42.58,0.486
26487,84.50463493,7.54145541,5.87,5.86,11.39,-14.74,-0.061
26535,84.65821979,-6.57395768,5.96,2.08,0.39,-0.42,-0.216
26536,84.65874822,30.49244147,5.40,7.29,-21.15,-11.98,0.450
26545,84.68136124,-40.70735801,5.81,6.65,-2.31,21.19,-0.078
26549,84.68652211,-2.60006791,3.77,2.84,4.61,-0.40,-0.190
26563,84.72121589,-7.21270844,4.77,21.24,-15.00,-49.55,0.139
26594,84.79644123,4.12146667,4.50,2.01,0.76,0.07,-0.098
26606,84.82630420,29.21523028,5.98,2.77,-1.48,-7.25,0.144
26624,84.87980519,-3.56470944,5.99,24.16,-3.88,2.10,0.294
26634,84.91224975,-34.07404941,2.65,12.16,-0.10,-24.05,-0.120
26640,84.93413604,25.89714891,5.18,6.58,9.75,-23.79,-0.150
26649,84.95771446,-32.62913912,5.44,8.54,-15.92,-31.62,0.913
26727,85.18968672,-1.94257841,1.74,3.99,3.99,2.54,-0.199
26736,85.21131577,-1.12878569,4.95,1.56,-1.85,-0.68,-0.197
26762,85.27328514,0.33768602,5.93,19.46,12.30,27.76,0.311
26777,85.32381426,16.53418318,4.84,4.36,5.42,-14.54,-0.125
26865,85.55815990,-22.37373687,5.88,4.26,-0.16,8.88,0.080
26868,85.56329561,-34.66793677,5.29,8.99,5.06,51.30,-0.032
26882,85.61020131,65.69770140,5.62,11.70,-0.27,-21.48,1.249
26885,85.61943491,1.47466498,4.90,10.80,-55.34,-14.85,1.144
26926,85.72461574,-6.79631491,5.97,19.94,12.26,60.59,0.447
26966,85.84024542,-18.55744324,5.73,14.45,18.45,-13.20,-0.014
27072,86.11656241,-22.44748663,3.59,111.49,-292.42,-368.45,0.481
27100,86.19341279,-65.73554080,4.34,22.48,-28.38,6.12,0.217
27196,86.47520331,49.82628283,5.46,6.76,-11.18,-11.31,0.030
27204,86.49955386,-32.30637997,5.18,2.52,3.01,-22.62,-0.274
27243,86.61402516,-46.59722012,5.31,7.09,7.80,16.33,1.040
27249,86.62653944,56.11571824,5.93,16.89,20.18,-58.91,0.164
27253,86.64566124,1.16853796,5.95,23.57,-80.05,-141.79,0.773
27280,86.71731027,9.52249963,5.78,10.88,-33.29,-64.54,0.888
27288,86.73895728,-14.82194717,3.55,46.47,-14.84,-1.18,0.104
27316,86.80478979,14.48842452,5.72,7.72,3.84,-42.30,0.077
27321,86.82118054,-51.06671329,3.85,51.87,4.65,81.96,0.171
27338,86.85915586,17.72915270,5.47,2.57,-2.05,-4.79,0.301
27364,86.92877017,13.89963175,5.28,4.08,3.52,-13.27,-0.156
27366,86.93911641,-9.66960186,2.07,4.52,1.55,-1.20,-0.168
27386,87.00096600,6.45421020,5.26,6.80,4.05,-22.20,0.234
27435,87.14543446,-4.09408727,5.97,64.25,62.39,-230.65,0.639
27468,87.25399777,24.56755473,4.88,6.25,12.07,-8.16,1.021
27483,87.29358126,39.18113322,4.51,15.34,-28.42,-25.55,0.949
27511,87.38726446,12.65136584,4.89,12.00,-21.63,-17.35,-0.068
27517,87.40231190,-14.48354987,5.49,10.51,-20.98,-47.58,0.870
27530,87.45656999,-56.16648860,4.50,18.78,81.61,-71.77,1.075
27533,87.47295636,-22.97192372,5.87,5.34,-15.31,21.41,0.055
27534,87.47313958,-66.90123090,5.10,6.37,-22.10,18.08,-0.128
27549,87.51115293,9.87122224,5.79,9.77,14.82,-1.68,0.876
27560,87.55441800,4.42349901,5.96,6.43,7.86,-38.28,1.361
27566,87.56999717,-79.36152292,5.46,12.06,-4.50,65.95,-0.076
27581,87.62043148,14.30569894,5.54,10.44,4.42,-37.43,1.006
27588,87.62510583,2.02471682,5.97,2.89,0.51,-6.94,0.953
27621,87.72174399,-52.10868730,5.16,12.33,2.42,-76.29,0.960
27628,87.73980340,-35.76929225,3.12,37.94,55.74,404.68,1.146
27629,87.74213255,27.96783335,5.60,8.66,-3.08,11.56,0.978
27639,87.76004280,37.30568175,4.72,6.86,36.96,-44.76,1.621
27654,87.82980343,-20.87751376,3.76,29.05,228.96,-647.96,0.984
27658,87.84159736,-7.51800251,5.36,1.94,0.75,-0.18,-0.195
27673,87.87246934,39.14847936,3.97,15.17,8.48,0.39,1.132
27713,88.03221102,-9.04197853,5.95,8.60,-2.97,32.31,0.100
27737,88.08409189,-57.15600008,5.93,7.86,17.99,-78.63,0.656
27743,88.09292572,14.17179382,5.60,6.33,-17.46,-2.88,-0.053
27747,88.09753810,19.86785634,5.96,2.38,-5.57,-3.14,0.549
27750,88.11017813,1.85515790,4.76,2.93,-7.09,-9.91,1.382
27766,88.13817716,-37.63099079,5.62,10.14,30.75,-29.76,1.046
27810,88.27868480,-33.80143950,4.88,9.55,-4.52,32.40,-0.154
27830,88.33184814,27.61228536,4.56,7.45,3.82,-9.58,-0.008
27890,88.52458376,-63.09102096,4.65,36.67,120.11,573.43,1.022
27913,88.59618305,20.27641498,4.39,115.43,-163.17,-98.92,0.594
27938,88.68160633,-11.77426082,5.62,4.37,75.57,28.25,1.523
27939,88.68349348,0.96861499,5.99,3.94,-2.90,0.01,1.328
27947,88.70878524,-52.63607272,5.29,28.65,-17.21,243.54,0.295
27949,88.71160776,55.70690490,4.96,13.54,-3.65,17.20,0.052
27955,88.71872485,-39.95790952,5.55,6.41,-12.71,21.58,1.515
27965,88.73619396,19.74962409,5.92,2.32,0.39,-4.14,-0.145
27971,88.74093802,59.88841219,5.20,8.05,2.00,-18.50,0.010
27973,88.74591834,31.70193276,5.90,12.72,-45.10,-179.84,0.144
27989,88.79287161,7.40703634,0.45,7.63,27.33,10.86,1.500
28010,88.87454313,-37.12060931,4.97,9.93,36.65,-24.08,1.102
28011,88.87564797,-4.61649597,5.87,10.71,27.05,-20.54,1.173
28085,89.05915111,-22.84005515,5.95,11.18,117.77,32.79,1.107
28098,89.08726177,-31.38245487,5.52,2.23,1.39,5.94,0.382
28103,89.10132627,-14.16803805,3.71,66.47,-42.23,139.02,0.337
28110,89.11681496,9.50941963,5.97,4.68,0.32,-9.91,-0.038
28139,89.20578119,11.52119572,5.89,10.62,105.96,-56.71,1.111
28199,89.38421613,-35.28330688,4.36,3.82,-2.65,11.19,-0.165
28237,89.49857371,25.95391597,4.81,1.55,-2.85,-1.69,-0.088
28271,89.60182982,1.83712742,5.89,9.24,6.01,-7.83,0.223
28287,89.65648606,-44.03458558,5.81,2.58,-12.02,9.49,1.061
28296,89.70658741,0.55297359,5.21,8.88,-15.59,2.41,0.009
28302,89.72184012,12.80825741,5.70,3.89,-8.64,2.84,0.874
