ra,dec,z,cap
153.0580,-3.4171,0.04050,NGP
153.0642,-4.0025,0.16110,NGP
153.0406,-3.7224,0.05790,NGP
153.0170,-3.5504,0.07640,NGP
152.9765,-4.1823,0.11950,NGP
152.8973,-3.0852,0.06140,NGP
152.7702,-2.7684,0.06910,NGP
152.6249,-3.4896,0.07590,NGP
152.6236,-3.6908,0.05930,NGP
152.4900,-3.4639,0.05930,NGP
152.4826,-3.0016,0.06780,NGP
152.4876,-4.4718,0.12120,NGP
152.3780,-3.7954,0.04000,NGP
152.3100,-3.3660,0.16310,NGP
152.3140,-3.9916,0.11840,NGP
152.2893,-2.8525,0.04160,NGP
152.2284,-3.3482,0.09660,NGP
152.2245,-3.5080,0.08730,NGP
152.0643,-4.2317,0.12630,NGP
152.0318,-3.7687,0.12700,NGP
151.9935,-4.4234,0.12800,NGP
151.8798,-3.3334,0.16270,NGP
151.7401,-3.8484,0.05980,NGP
151.6636,-3.4475,0.09630,NGP
151.6151,-4.2016,0.02580,NGP
151.5425,-3.0069,0.19610,NGP
151.4719,-2.9583,0.09380,NGP
151.4158,-3.5454,0.06000,NGP
151.3173,-3.1516,0.19260,NGP
151.3234,-4.3151,0.12980,NGP
151.1213,-3.6231,0.16150,NGP
150.9917,-3.3349,0.09660,NGP
150.9922,-3.9488,0.06250,NGP
150.9750,-4.4671,0.06310,NGP
150.9646,-4.1209,0.06260,NGP
150.9368,-3.9011,0.08910,NGP
150.9049,-2.8099,0.13940,NGP
150.8969,-4.1925,0.06260,NGP
150.8644,-4.0166,0.16320,NGP
150.8752,-4.3700,0.06290,NGP
150.8151,-4.1964,0.12820,NGP
150.7230,-4.1159,0.12790,NGP
150.6518,-3.6131,0.14370,NGP
150.6263,-3.0360,0.01250,NGP
150.6325,-3.5820,0.16210,NGP
150.6173,-3.2688,0.07370,NGP
150.5924,-3.6500,0.15140,NGP
150.5732,-3.3775,0.14490,NGP
150.5576,-3.1422,0.09420,NGP
150.5653,-3.4499,0.15370,NGP
150.5334,-3.6080,0.06290,NGP
150.4999,-3.3009,0.13850,NGP
150.4999,-3.6493,0.13520,NGP
150.4286,-3.7033,0.14800,NGP
150.3568,-3.0798,0.07900,NGP
150.2851,-3.2193,0.14290,NGP
150.2467,-3.4517,0.16270,NGP
150.2572,-4.1253,0.06460,NGP
150.2232,-2.9721,0.02050,NGP
150.1764,-2.9135,0.07450,NGP
150.1297,-3.7888,0.14690,NGP
149.9841,-3.9804,0.05050,NGP
149.9575,-2.9268,0.02110,NGP
149.9696,-3.0424,0.09230,NGP
149.9087,-2.9527,0.02100,NGP
149.8624,-4.1081,0.14410,NGP
149.7778,-4.0861,0.08080,NGP
149.7168,-2.7489,0.09810,NGP
149.6911,-3.9123,0.09260,NGP
149.6970,-4.2106,0.16430,NGP
149.6176,-3.3596,0.08730,NGP
149.6071,-3.0496,0.04850,NGP
149.5942,-2.7544,0.09960,NGP
149.5869,-3.2282,0.08300,NGP
149.5694,-3.5619,0.01980,NGP
149.4225,-4.4450,0.05740,NGP
149.4139,-2.9208,0.04860,NGP
149.3937,-3.5080,0.04850,NGP
149.3362,-3.0676,0.04940,NGP
149.3114,-4.0651,0.08670,NGP
149.2946,-3.6371,0.15290,NGP
149.1710,-4.4859,0.08740,NGP
149.0975,-4.1134,0.13740,NGP
149.0935,-4.4626,0.12960,NGP
149.0208,-3.5236,0.15350,NGP
148.9911,-2.9011,0.09100,NGP
148.9729,-3.4004,0.04890,NGP
148.9562,-2.9858,0.18530,NGP
148.9467,-3.4928,0.15360,NGP
148.9439,-2.8655,0.16340,NGP
148.9318,-4.2413,0.05710,NGP
148.8405,-3.5020,0.14030,NGP
148.8230,-3.0931,0.16080,NGP
148.7363,-3.9011,0.18850,NGP
148.6276,-3.2464,0.06390,NGP
148.6202,-4.0827,0.05690,NGP
148.5065,-4.3429,0.10720,NGP
148.4577,-4.3902,0.12670,NGP
148.3723,-3.2366,0.05820,NGP
148.3242,-4.3414,0.19930,NGP
148.2650,-3.4003,0.12870,NGP
148.2615,-3.9994,0.06530,NGP
153.0790,-5.6915,0.06520,NGP
153.0682,-5.9014,0.05450,NGP
152.9381,-5.1819,0.16210,NGP
152.8826,-6.0373,0.18420,NGP
152.7859,-5.5687,0.08600,NGP
152.7447,-6.0660,0.09140,NGP
152.6048,-6.0703,0.05910,NGP
152.2360,-6.3073,0.12160,NGP
152.2289,-6.2286,0.12110,NGP
152.1687,-4.5160,0.15600,NGP
152.0053,-5.9913,0.01620,NGP
151.9825,-5.2585,0.05490,NGP
151.9711,-4.6578,0.05820,NGP
151.9796,-5.8249,0.08470,NGP
151.9173,-4.7323,0.15920,NGP
151.9120,-5.5878,0.05310,NGP
151.8881,-6.1354,0.06510,NGP
151.8760,-6.1873,0.11880,NGP
151.8085,-5.8102,0.05500,NGP
151.7881,-5.3110,0.05590,NGP
151.7950,-5.4232,0.06020,NGP
151.7602,-4.5970,0.17590,NGP
151.7338,-5.5457,0.12330,NGP
151.7258,-5.7065,0.12430,NGP
151.7210,-5.9030,0.09520,NGP
151.6477,-5.7477,0.05610,NGP
151.6296,-6.2794,0.06170,NGP
151.6167,-5.1211,0.12240,NGP
151.5294,-5.8309,0.03610,NGP
151.5242,-4.9128,0.12680,NGP
151.5025,-6.0672,0.06300,NGP
151.4059,-5.3472,0.06140,NGP
151.3802,-5.3809,0.12430,NGP
151.3744,-5.8159,0.09660,NGP
151.2988,-5.1790,0.12680,NGP
151.2933,-6.2168,0.14820,NGP
151.2726,-4.6439,0.05750,NGP
151.2416,-6.0829,0.08600,NGP
151.2023,-4.8836,0.08550,NGP
151.1564,-6.1707,0.08580,NGP
151.0801,-5.8101,0.08290,NGP
150.9545,-5.6037,0.06880,NGP
150.8651,-5.7442,0.08240,NGP
150.7480,-5.3164,0.06240,NGP
150.7077,-5.8535,0.08280,NGP
150.6585,-5.3343,0.12380,NGP
150.6331,-5.3331,0.15460,NGP
150.4852,-5.9041,0.16030,NGP
150.3882,-5.3192,0.15640,NGP
150.3324,-5.4845,0.05290,NGP
150.2851,-5.9148,0.12660,NGP
150.2137,-4.9675,0.05040,NGP
150.1600,-5.4660,0.05320,NGP
150.1302,-5.4535,0.03430,NGP
150.0379,-5.6450,0.04310,NGP
150.0082,-5.2057,0.09580,NGP
150.0062,-5.3917,0.05240,NGP
150.0011,-4.7994,0.16220,NGP
149.9588,-4.6438,0.05670,NGP
149.9518,-4.8537,0.12040,NGP
149.8649,-4.5627,0.12050,NGP
149.8756,-4.6318,0.05600,NGP
149.8495,-5.3989,0.05250,NGP
149.8060,-4.6733,0.05690,NGP
149.7905,-5.0508,0.15770,NGP
149.7957,-5.0897,0.01730,NGP
149.7453,-4.7070,0.09570,NGP
149.7403,-5.7533,0.01490,NGP
149.7211,-4.6265,0.05620,NGP
149.6262,-5.2987,0.05230,NGP
149.5906,-4.6605,0.15780,NGP
149.5927,-6.0355,0.03490,NGP
149.5607,-4.6216,0.15770,NGP
149.3451,-5.5981,0.09620,NGP
149.1837,-6.1084,0.14800,NGP
149.1803,-4.8925,0.14420,NGP
149.1606,-5.0736,0.14380,NGP
149.0262,-5.0902,0.14380,NGP
149.0131,-4.5874,0.14500,NGP
149.0049,-5.1670,0.09590,NGP
148.9552,-4.9559,0.15760,NGP
148.9412,-6.0348,0.08740,NGP
148.9351,-6.2320,0.13640,NGP
148.8672,-5.9746,0.06580,NGP
148.8229,-6.3617,0.01630,NGP
148.5770,-4.6276,0.06830,NGP
148.4475,-5.3369,0.06860,NGP
148.4373,-4.6311,0.12930,NGP
148.4202,-5.0693,0.05610,NGP
148.4132,-5.0978,0.05690,NGP
148.3479,-5.9842,0.15510,NGP
148.3532,-4.5963,0.06490,NGP
148.3285,-5.4723,0.05590,NGP
148.3102,-4.8229,0.15150,NGP
148.2458,-5.4579,0.02040,NGP
148.1880,-6.0753,0.13280,NGP
151.8945,-6.5233,0.01580,NGP
151.7742,-6.3973,0.06150,NGP
151.6933,-6.3987,0.06270,NGP
151.5264,-6.4802,0.05490,NGP
158.0655,-2.7602,0.03800,NGP
157.9766,-3.1303,0.09730,NGP
157.9423,-3.2882,0.03880,NGP
157.9044,-6.0649,0.14080,NGP
157.8445,-3.2203,0.11950,NGP
157.8326,-3.5735,0.06060,NGP
157.7925,-5.7426,0.06280,NGP
157.7762,-3.4234,0.03850,NGP
157.7497,-4.6187,0.05360,NGP
157.6552,-3.4611,0.13630,NGP
157.6380,-4.8954,0.15070,NGP
157.6247,-3.4232,0.03810,NGP
157.5982,-3.1863,0.09960,NGP
157.5704,-5.7893,0.08850,NGP
157.5212,-6.2791,0.14240,NGP
157.4962,-5.5717,0.19190,NGP
157.4737,-3.4480,0.06030,NGP
157.4709,-4.4201,0.19910,NGP
157.4599,-4.8394,0.05410,NGP
157.4535,-3.7962,0.09770,NGP
157.3975,-3.3708,0.06170,NGP
157.3762,-3.8283,0.02960,NGP
157.3407,-5.2255,0.15790,NGP
157.3010,-5.5560,0.06060,NGP
157.2715,-3.1915,0.09530,NGP
157.2404,-5.4156,0.14860,NGP
157.2275,-2.8777,0.05050,NGP
157.2131,-5.9039,0.05920,NGP
157.1539,-3.6090,0.06910,NGP
157.1383,-3.2296,0.13200,NGP
157.0973,-5.7434,0.15040,NGP
157.0433,-5.1181,0.01840,NGP
157.0263,-3.5225,0.12130,NGP
156.9786,-3.5586,0.03020,NGP
156.9294,-3.0685,0.15950,NGP
156.9093,-3.4612,0.06620,NGP
156.8923,-3.1391,0.03030,NGP
156.8130,-3.9329,0.03820,NGP
156.8122,-3.3364,0.03070,NGP
156.7933,-3.3441,0.02970,NGP
156.7881,-2.7830,0.05620,NGP
156.7686,-3.7484,0.19860,NGP
156.7205,-3.7131,0.02990,NGP
156.7162,-3.4644,0.03440,NGP
156.7045,-3.4887,0.06040,NGP
156.6952,-5.4779,0.13530,NGP
156.6455,-3.0901,0.13540,NGP
156.4987,-5.4458,0.18300,NGP
156.4360,-4.7801,0.07550,NGP
156.3985,-5.3442,0.07270,NGP
156.3999,-3.7612,0.03270,NGP
156.3749,-5.1426,0.13700,NGP
156.3627,-3.3349,0.19590,NGP
156.2890,-2.9303,0.06050,NGP
156.2651,-2.9783,0.06160,NGP
156.2325,-3.9152,0.13110,NGP
156.1499,-2.9754,0.06150,NGP
156.1388,-3.9262,0.05530,NGP
156.1359,-5.8289,0.14580,NGP
156.0723,-4.1951,0.03860,NGP
156.0058,-2.8534,0.05980,NGP
155.9920,-5.1133,0.05450,NGP
155.9712,-5.1616,0.07440,NGP
155.8911,-5.6296,0.05390,NGP
155.8773,-3.2887,0.13120,NGP
155.8636,-5.7443,0.11640,NGP
155.8546,-2.7545,0.06300,NGP
155.8402,-5.7458,0.15720,NGP
155.8175,-6.2102,0.15750,NGP
155.8107,-5.8737,0.08710,NGP
155.8083,-2.7956,0.04300,NGP
155.7867,-4.6807,0.16170,NGP
155.7615,-5.7173,0.13140,NGP
155.7282,-3.8851,0.03850,NGP
155.6808,-3.5380,0.03060,NGP
155.6688,-5.8021,0.13130,NGP
155.6410,-2.9851,0.07240,NGP
155.6381,-3.7742,0.03210,NGP
155.6306,-3.6202,0.12800,NGP
155.5503,-4.4378,0.10060,NGP
155.5470,-5.0743,0.09910,NGP
155.5210,-4.7647,0.05380,NGP
155.4898,-5.4786,0.07120,NGP
155.4565,-5.6057,0.07270,NGP
155.4527,-6.1583,0.10210,NGP
155.3635,-3.4300,0.06330,NGP
155.3217,-5.2271,0.13020,NGP
155.3049,-5.8304,0.07350,NGP
155.3089,-3.7703,0.03930,NGP
155.2282,-5.4315,0.03880,NGP
155.2237,-5.6341,0.16330,NGP
155.2181,-4.4811,0.05390,NGP
155.1821,-6.5329,0.05480,NGP
155.1438,-5.0468,0.18970,NGP
155.0666,-5.7106,0.16330,NGP
155.0450,-5.2016,0.05010,NGP
155.0230,-5.5147,0.04870,NGP
154.9857,-4.0199,0.03930,NGP
154.9541,-3.6381,0.17620,NGP
154.9461,-4.9899,0.05680,NGP
154.9443,-5.0535,0.05060,NGP
154.9430,-3.3323,0.04910,NGP
154.9269,-4.2927,0.04680,NGP
154.8817,-6.4317,0.14630,NGP
154.8826,-2.9541,0.04840,NGP
154.7908,-4.1647,0.16350,NGP
154.7887,-4.6145,0.05340,NGP
154.7393,-3.3234,0.17530,NGP
154.6834,-3.0875,0.11290,NGP
154.6409,-3.3089,0.04690,NGP
154.6262,-2.9823,0.16540,NGP
154.4855,-3.9346,0.04120,NGP
154.4694,-4.6271,0.05410,NGP
154.4187,-5.9713,0.05360,NGP
154.4007,-4.0722,0.09710,NGP
154.3941,-3.0749,0.11360,NGP
154.3465,-5.9328,0.05460,NGP
154.3531,-3.1210,0.18970,NGP
154.3102,-5.1579,0.05610,NGP
154.3122,-2.8004,0.18960,NGP
154.2825,-5.2519,0.05400,NGP
154.2615,-3.9599,0.08760,NGP
154.0865,-3.2301,0.18730,NGP
154.0754,-5.6601,0.05460,NGP
154.0279,-5.9777,0.10080,NGP
153.9535,-4.0992,0.11630,NGP
153.9330,-5.5976,0.12980,NGP
153.8773,-5.7212,0.12050,NGP
153.7214,-4.3550,0.04750,NGP
153.5943,-4.1814,0.07530,NGP
153.5237,-5.6301,0.06280,NGP
153.5005,-5.3769,0.07600,NGP
153.4812,-6.0918,0.08720,NGP
153.4412,-2.9547,0.16360,NGP
153.4295,-4.5546,0.13860,NGP
153.4162,-5.7321,0.09940,NGP
153.3867,-4.2552,0.05760,NGP
153.3813,-5.1775,0.09310,NGP
153.3454,-3.4194,0.04100,NGP
153.3054,-5.1375,0.16350,NGP
153.3026,-5.4716,0.16080,NGP
153.2498,-3.2183,0.04160,NGP
153.2402,-4.8330,0.07680,NGP
153.2428,-3.6361,0.06890,NGP
153.1868,-3.5396,0.07730,NGP
153.1775,-4.1902,0.07200,NGP
153.1462,-4.4012,0.12950,NGP
163.1280,-4.2440,0.15440,NGP
163.1152,-6.0675,0.09110,NGP
163.0900,-4.0393,0.09810,NGP
163.0210,-5.8157,0.09260,NGP
163.0039,-2.9735,0.06010,NGP
163.0051,-6.3174,0.00830,NGP
162.9637,-4.9126,0.13580,NGP
162.9109,-5.0154,0.13530,NGP
162.9070,-4.7309,0.11780,NGP
162.8560,-3.5553,0.18740,NGP
162.8379,-4.8223,0.11680,NGP
162.7769,-4.6094,0.02980,NGP
162.7702,-4.8222,0.05240,NGP
162.7314,-5.9998,0.10480,NGP
162.7081,-3.7646,0.10070,NGP
162.6067,-5.2149,0.04920,NGP
162.5805,-4.3027,0.08160,NGP
162.5137,-2.8216,0.09960,NGP
162.5077,-5.1929,0.03730,NGP
162.4680,-3.4725,0.11770,NGP
162.4158,-3.2562,0.16610,NGP
162.3957,-4.2453,0.14670,NGP
162.3955,-2.8846,0.17460,NGP
162.3431,-5.5373,0.05290,NGP
162.3174,-3.0059,0.04800,NGP
162.2931,-5.8960,0.12210,NGP
162.2569,-3.0317,0.07410,NGP
162.2188,-4.2926,0.08070,NGP
162.2048,-4.2678,0.08120,NGP
162.1978,-5.1019,0.13750,NGP
162.1768,-5.0651,0.12620,NGP
162.1753,-4.7972,0.18160,NGP
162.1709,-6.1396,0.04400,NGP
162.1443,-2.7927,0.07360,NGP
162.1207,-5.9422,0.14840,NGP
162.1185,-4.8920,0.10330,NGP
162.1177,-3.9822,0.12820,NGP
162.1052,-3.5107,0.12740,NGP
162.0901,-3.7798,0.06910,NGP
162.0802,-4.7837,0.08180,NGP
162.0784,-3.9450,0.12780,NGP
162.0416,-4.0659,0.08020,NGP
162.0165,-4.1393,0.13370,NGP
161.9984,-4.1374,0.09460,NGP
161.9990,-3.8914,0.06620,NGP
161.9600,-5.0674,0.08300,NGP
161.9565,-4.6849,0.12020,NGP
161.8936,-3.8177,0.04300,NGP
161.8741,-3.4742,0.03670,NGP
161.8327,-6.3027,0.08540,NGP
161.8290,-4.5778,0.04550,NGP
161.7995,-4.2011,0.11150,NGP
161.8003,-3.3995,0.10710,NGP
161.7910,-3.6752,0.16150,NGP
161.6882,-4.6043,0.13260,NGP
161.6706,-3.5351,0.07520,NGP
161.6449,-5.0641,0.12110,NGP
161.6046,-3.7555,0.02670,NGP
161.5927,-5.5591,0.06610,NGP
161.5905,-3.9078,0.07020,NGP
161.5142,-3.5574,0.17010,NGP
161.4376,-5.8654,0.12590,NGP
161.4201,-2.9896,0.03770,NGP
161.4035,-3.6610,0.19140,NGP
161.3983,-4.2637,0.07010,NGP
161.3959,-3.1883,0.11220,NGP
161.3753,-3.0739,0.16570,NGP
161.3440,-3.6158,0.17190,NGP
161.3274,-4.0939,0.10800,NGP
161.3107,-4.5080,0.11510,NGP
161.2897,-4.3407,0.12890,NGP
161.2816,-3.6277,0.17170,NGP
161.2325,-4.4302,0.14310,NGP
161.1740,-4.4500,0.12820,NGP
161.1135,-2.9116,0.12530,NGP
161.1086,-5.8795,0.11370,NGP
161.0235,-4.4342,0.13170,NGP
160.9329,-3.1276,0.09550,NGP
160.9136,-3.4615,0.11120,NGP
160.9100,-3.5951,0.17260,NGP
160.9001,-5.9522,0.10240,NGP
160.7938,-3.9293,0.06700,NGP
160.7413,-5.3411,0.13200,NGP
160.7284,-4.8896,0.13100,NGP
160.7064,-3.3556,0.14940,NGP
160.6783,-5.3586,0.07750,NGP
160.6755,-5.2451,0.15670,NGP
160.6735,-2.9631,0.18940,NGP
160.6690,-4.5863,0.13160,NGP
160.6531,-5.3330,0.13290,NGP
160.6394,-2.9079,0.05960,NGP
160.6086,-6.0136,0.17330,NGP
160.5826,-3.6633,0.11410,NGP
160.5467,-5.5683,0.12770,NGP
160.5405,-5.2715,0.13340,NGP
160.4286,-3.6672,0.14840,NGP
160.4063,-5.0256,0.11380,NGP
160.4101,-3.0102,0.13170,NGP
160.3828,-5.5785,0.15450,NGP
160.3478,-5.7844,0.13320,NGP
160.3455,-5.8597,0.13200,NGP
160.3508,-3.2933,0.10870,NGP
160.3356,-4.9118,0.13480,NGP
160.3052,-3.8739,0.13200,NGP
160.3005,-3.4131,0.05970,NGP
160.2422,-5.3809,0.09410,NGP
160.2238,-4.8895,0.08370,NGP
160.2221,-4.9109,0.13160,NGP
160.2043,-4.8318,0.11300,NGP
160.1963,-4.0583,0.13090,NGP
160.1972,-3.7466,0.14700,NGP
160.1545,-2.8058,0.08200,NGP
160.1473,-5.0243,0.13110,NGP
160.1246,-3.6677,0.07250,NGP
160.1074,-5.7189,0.12940,NGP
160.1051,-5.6454,0.12850,NGP
160.1056,-5.4319,0.13000,NGP
160.0567,-6.0706,0.12880,NGP
159.9653,-3.5839,0.13050,NGP
159.9321,-5.0530,0.15660,NGP
159.9267,-5.9345,0.13020,NGP
159.9291,-3.7497,0.06600,NGP
159.9165,-3.9122,0.18690,NGP
159.8992,-4.2497,0.06750,NGP
159.8943,-3.8273,0.09130,NGP
159.8219,-2.8816,0.18850,NGP
159.7935,-5.6348,0.17740,NGP
159.7840,-5.5318,0.09320,NGP
159.7743,-4.8286,0.17290,NGP
159.6798,-5.0730,0.05420,NGP
159.6168,-5.7794,0.09300,NGP
159.5446,-6.0168,0.17580,NGP
159.4761,-4.2104,0.05570,NGP
159.4511,-4.9011,0.11500,NGP
159.4192,-2.9880,0.15460,NGP
159.3619,-5.9765,0.13010,NGP
159.3192,-4.5320,0.18220,NGP
159.3032,-5.0289,0.09080,NGP
159.2762,-6.0117,0.16010,NGP
159.2612,-4.9653,0.15730,NGP
159.2545,-5.0507,0.18230,NGP
159.1782,-6.0577,0.13290,NGP
159.1757,-5.6497,0.16930,NGP
159.0637,-6.0236,0.10760,NGP
159.0741,-3.1497,0.06460,NGP
159.0557,-3.8625,0.07010,NGP
159.0297,-4.0250,0.05780,NGP
159.0131,-5.8032,0.14840,NGP
158.9734,-4.3477,0.04020,NGP
158.9354,-3.3306,0.13580,NGP
158.9220,-5.7259,0.16870,NGP
158.8619,-3.4817,0.16380,NGP
158.7643,-5.5338,0.13980,NGP
158.6945,-5.4867,0.11440,NGP
158.6555,-5.8993,0.09640,NGP
158.6217,-5.9514,0.16430,NGP
158.6172,-5.0654,0.10270,NGP
158.6027,-5.4190,0.15910,NGP
158.5728,-6.2682,0.12790,NGP
158.5537,-2.9401,0.15510,NGP
158.4658,-3.1107,0.13180,NGP
158.4526,-3.7789,0.06340,NGP
158.4063,-5.1916,0.02970,NGP
158.3972,-3.7389,0.03780,NGP
158.3521,-5.2830,0.15790,NGP
158.1835,-4.4675,0.15890,NGP
168.0961,-3.1988,0.07980,NGP
168.0834,-3.1172,0.08700,NGP
168.0842,-4.5267,0.12720,NGP
167.9917,-3.0246,0.08220,NGP
168.0125,-6.4106,0.06070,NGP
167.7578,-5.3506,0.07930,NGP
167.7447,-4.7301,0.12380,NGP
167.7097,-5.3162,0.15910,NGP
167.6992,-3.8946,0.10500,NGP
167.7033,-5.0673,0.08000,NGP
167.6884,-3.9781,0.15850,NGP
167.6546,-3.9973,0.12000,NGP
167.5528,-3.9411,0.05040,NGP
167.4585,-4.4130,0.11570,NGP
167.4317,-4.5536,0.02030,NGP
167.4222,-3.6925,0.09010,NGP
167.4024,-4.3424,0.06990,NGP
167.3976,-4.7706,0.10460,NGP
167.3565,-3.6927,0.16100,NGP
167.3423,-3.2605,0.03570,NGP
167.3398,-4.5225,0.10430,NGP
167.3397,-4.6356,0.11940,NGP
167.2777,-4.4951,0.06280,NGP
167.2074,-4.4596,0.04950,NGP
167.1898,-4.7396,0.03830,NGP
167.1243,-3.6359,0.06930,NGP
167.0913,-4.9286,0.03880,NGP
167.0849,-4.0207,0.03850,NGP
167.0647,-3.7301,0.09240,NGP
167.0216,-3.2861,0.16270,NGP
167.0322,-5.6834,0.06160,NGP
167.0133,-5.8662,0.09670,NGP
167.0017,-4.3724,0.03890,NGP
166.9767,-5.5093,0.15510,NGP
166.9363,-4.7153,0.10530,NGP
166.9173,-2.9383,0.03220,NGP
166.9177,-4.4820,0.04960,NGP
166.9135,-5.5387,0.05000,NGP
166.9007,-6.1766,0.09690,NGP
166.8409,-5.5008,0.06420,NGP
166.8048,-4.7949,0.10070,NGP
166.7836,-4.8358,0.05350,NGP
166.7578,-4.1389,0.12430,NGP
166.7008,-4.2754,0.09080,NGP
166.6013,-5.1759,0.06620,NGP
166.5592,-5.3003,0.06580,NGP
166.5382,-3.8025,0.16010,NGP
166.5363,-4.2285,0.12420,NGP
166.5428,-5.6188,0.10090,NGP
166.4497,-4.3057,0.12400,NGP
166.4468,-2.7745,0.03610,NGP
166.4391,-3.7544,0.16300,NGP
166.4373,-3.6825,0.11470,NGP
166.4224,-3.1176,0.07090,NGP
166.4127,-4.0071,0.04240,NGP
166.3975,-3.2042,0.03980,NGP
166.4021,-5.9123,0.10600,NGP
166.3305,-3.9763,0.03880,NGP
166.2878,-4.2040,0.04010,NGP
166.2731,-5.7191,0.10610,NGP
166.2572,-4.1657,0.03970,NGP
166.2248,-5.6525,0.04950,NGP
166.1847,-4.1029,0.19900,NGP
166.1734,-2.7729,0.09460,NGP
166.1739,-4.9077,0.09730,NGP
166.1474,-4.9867,0.14230,NGP
166.1276,-2.9212,0.08690,NGP
166.1092,-3.1494,0.12100,NGP
166.0954,-5.9469,0.16090,NGP
166.0727,-2.7707,0.08720,NGP
166.0582,-4.3506,0.09390,NGP
165.9681,-4.9451,0.19570,NGP
165.8995,-3.4988,0.09220,NGP
165.8425,-5.7932,0.04990,NGP
165.8240,-3.3336,0.15540,NGP
165.6995,-6.4520,0.03060,NGP
165.6540,-3.4772,0.12820,NGP
165.6456,-4.8097,0.15240,NGP
165.5926,-4.7226,0.06840,NGP
165.5671,-4.6921,0.06740,NGP
165.5615,-4.0035,0.12000,NGP
165.5300,-4.2723,0.15420,NGP
165.4660,-3.5310,0.15400,NGP
165.3975,-4.4974,0.08090,NGP
165.3990,-5.7447,0.10050,NGP
165.3811,-4.1772,0.08090,NGP
165.3396,-5.2754,0.15270,NGP
165.3035,-3.6437,0.04620,NGP
165.2288,-5.2036,0.13290,NGP
165.1721,-2.8614,0.06230,NGP
165.0627,-4.9891,0.06890,NGP
165.0473,-5.3817,0.03250,NGP
165.0157,-4.2633,0.11090,NGP
164.9655,-5.1579,0.18540,NGP
164.9587,-4.7631,0.10930,NGP
164.8286,-4.1279,0.06930,NGP
164.6781,-2.7878,0.07030,NGP
164.6363,-5.1711,0.04190,NGP
164.6236,-2.8721,0.01980,NGP
164.6164,-4.8417,0.10550,NGP
164.5510,-6.4416,0.06830,NGP
164.5291,-5.1090,0.10970,NGP
164.5139,-4.9261,0.03350,NGP
164.5003,-3.0951,0.05750,NGP
164.4732,-4.9043,0.03270,NGP
164.4691,-4.3625,0.02200,NGP
164.4063,-3.8444,0.12850,NGP
164.3991,-3.6118,0.15360,NGP
164.3690,-3.6566,0.15420,NGP
164.3458,-4.6160,0.09050,NGP
164.3043,-3.9607,0.12870,NGP
164.2286,-5.1076,0.06810,NGP
164.2231,-5.7333,0.07950,NGP
164.1802,-5.9122,0.03170,NGP
164.1309,-4.1259,0.03330,NGP
164.1164,-6.1247,0.14390,NGP
164.1149,-5.2099,0.10980,NGP
164.0612,-5.8128,0.06200,NGP
164.0228,-5.9924,0.03760,NGP
163.9836,-4.5393,0.08100,NGP
163.9727,-3.7942,0.17950,NGP
163.9169,-3.9263,0.05180,NGP
163.8895,-3.7220,0.03610,NGP
163.8559,-6.1067,0.18230,NGP
163.8522,-5.4885,0.06880,NGP
163.8433,-4.8524,0.09980,NGP
163.8368,-2.8690,0.03180,NGP
163.8245,-4.0348,0.13830,NGP
163.8222,-2.7730,0.03690,NGP
163.7730,-3.6649,0.17980,NGP
163.7652,-5.0386,0.13630,NGP
163.7510,-5.0239,0.12420,NGP
163.7378,-2.8222,0.05280,NGP
163.6974,-3.0164,0.13690,NGP
163.6800,-3.7904,0.03710,NGP
163.4932,-3.0637,0.08160,NGP
163.4898,-5.5484,0.07800,NGP
163.4532,-5.9856,0.06190,NGP
163.4315,-3.1604,0.09240,NGP
163.4238,-5.9134,0.06750,NGP
163.4005,-5.5473,0.16770,NGP
163.4006,-4.2505,0.07000,NGP
163.3886,-3.2118,0.13730,NGP
163.3584,-5.4146,0.16810,NGP
163.3382,-5.3246,0.06070,NGP
163.3278,-3.5959,0.03690,NGP
163.3050,-4.2851,0.05260,NGP
163.2662,-5.3980,0.18630,NGP
163.2590,-4.4506,0.03930,NGP
163.2312,-3.9912,0.05260,NGP
163.2247,-5.2089,0.06940,NGP
163.2025,-3.8306,0.13720,NGP
163.1435,-6.2635,0.11500,NGP
173.1024,-3.2683,0.02270,NGP
173.0664,-5.0505,0.06360,NGP
173.0387,-6.0126,0.04010,NGP
173.0196,-4.4263,0.19490,NGP
173.0200,-4.8483,0.04660,NGP
173.0004,-5.8312,0.02510,NGP
172.9833,-3.5788,0.17790,NGP
172.9895,-5.6991,0.09890,NGP
172.9242,-4.8116,0.06380,NGP
172.8152,-3.6109,0.19990,NGP
172.8086,-3.8032,0.11380,NGP
172.8132,-6.0520,0.02550,NGP
172.7516,-4.9031,0.03050,NGP
172.7315,-3.8534,0.17700,NGP
172.7280,-4.9221,0.02990,NGP
172.7174,-3.1199,0.11940,NGP
172.7000,-3.1936,0.07110,NGP
172.6930,-5.5864,0.11590,NGP
172.6675,-5.6016,0.11680,NGP
172.5302,-4.3203,0.12120,NGP
172.5265,-4.8836,0.11880,NGP
172.4807,-5.5511,0.06250,NGP
172.4702,-4.6036,0.03320,NGP
172.4660,-2.9776,0.09850,NGP
172.4127,-6.4513,0.18590,NGP
172.4005,-3.8146,0.01590,NGP
172.3977,-4.8355,0.08040,NGP
172.3932,-4.9246,0.10140,NGP
172.3857,-6.4783,0.15080,NGP
172.3317,-4.0889,0.03770,NGP
172.2866,-3.9416,0.14930,NGP
