ra,dec,z
191.97080,-1.18583,0.02343
143.51725,0.38369,0.02343
191.21242,-0.69607,0.02345
248.91088,0.31180,0.02355
199.68955,1.38624,0.02378
248.99151,0.02694,0.02378
186.02036,1.18979,0.02387
159.11298,-1.14608,0.02396
187.69793,0.63581,0.02399
236.59191,-0.82656,0.02400
210.50855,0.99323,0.02400
198.85721,0.97348,0.02406
246.88813,-0.53633,0.02408
185.97720,0.83052,0.02422
248.36352,0.89396,0.02428
210.44363,1.15681,0.02429
249.82069,0.41029,0.02433
144.78908,0.98449,0.02439
209.57514,-0.92400,0.02441
185.08284,-0.84918,0.02442
197.42118,-1.04827,0.02443
170.63384,-0.84113,0.02445
211.10573,-0.45677,0.02446
242.03277,1.08535,0.02448
208.77881,-1.41203,0.02448
208.30882,0.44727,0.02450
242.01217,0.88839,0.02451
245.66356,1.24762,0.02453
134.45493,1.32295,0.02461
248.92007,0.33138,0.02471
212.48399,-1.23879,0.02477
170.00612,-0.96764,0.02478
183.87771,-0.04939,0.02482
167.16509,0.28432,0.02486
212.93156,0.72074,0.02489
141.44045,-0.11396,0.02491
249.17575,0.43426,0.02491
210.40136,0.79416,0.02491
212.82986,1.30951,0.02492
170.18533,0.31976,0.02493
210.52607,-1.39646,0.02494
211.21967,-0.61582,0.02494
169.64924,0.41977,0.02503
211.38187,-1.36331,0.02503
167.79204,0.62518,0.02505
212.13171,-0.12705,0.02506
167.09645,0.11320,0.02508
167.65884,0.89113,0.02514
205.53276,0.01026,0.02519
147.34549,1.14538,0.02521
145.80019,0.41417,0.02525
186.09893,-0.69301,0.02527
171.39617,-0.76823,0.02530
217.76736,-0.91910,0.02534
149.03429,1.47741,0.02534
205.92553,-0.33743,0.02539
169.70646,0.61931,0.02539
212.61180,-0.83238,0.02540
212.63638,-0.84185,0.02542
210.48812,-1.18586,0.02544
143.66385,0.68807,0.02544
171.36487,-0.97044,0.02545
248.84829,0.28752,0.02547
170.19255,-1.25682,0.02556
214.01856,0.21626,0.02557
210.41870,-0.39549,0.02557
169.01399,-0.53276,0.02559
212.82232,1.35260,0.02564
217.01890,1.00634,0.02567
133.20973,0.15800,0.02569
214.53596,1.22414,0.02570
